"production","date","capacity","gross","nominations","wins","type","year"
"once-on-this-island-4617",1991-08-18,89,136620,8,0,"Musical","1991"
"once-on-this-island-4617",1991-08-25,84,126337,8,0,"Musical","1991"
"once-on-this-island-4617",1991-09-01,86,134592,8,0,"Musical","1991"
"once-on-this-island-4617",1991-09-08,50,69446,8,0,"Musical","1991"
"once-on-this-island-4617",1991-09-15,61,93674,8,0,"Musical","1991"
"once-on-this-island-4617",1991-09-22,62,100760,8,0,"Musical","1991"
"once-on-this-island-4617",1991-09-29,63,99877,8,0,"Musical","1991"
"once-on-this-island-4617",1991-10-06,61,95339,8,0,"Musical","1991"
"once-on-this-island-4617",1991-10-13,73,123248,8,0,"Musical","1991"
"once-on-this-island-4617",1991-10-20,68,100816,8,0,"Musical","1991"
"once-on-this-island-4617",1990-11-25,69,143670,8,0,"Musical","1991"
"once-on-this-island-4617",1990-12-02,67,123065,8,0,"Musical","1991"
"once-on-this-island-4617",1990-12-09,85,146401,8,0,"Musical","1991"
"once-on-this-island-4617",1990-12-16,76,117640,8,0,"Musical","1991"
"once-on-this-island-4617",1990-12-23,80,122499,8,0,"Musical","1991"
"once-on-this-island-4617",1990-11-18,58,97054,8,0,"Musical","1991"
"once-on-this-island-514926",2018-07-08,91,545569,8,1,"Musical","2018"
"once-on-this-island-514926",2018-07-15,97,569222,8,1,"Musical","2018"
"once-on-this-island-514926",2018-07-22,96,563828,8,1,"Musical","2018"
"once-on-this-island-514926",2018-08-05,88,523594,8,1,"Musical","2018"
"once-on-this-island-514926",2018-08-12,89,520931,8,1,"Musical","2018"
"once-on-this-island-514926",2018-08-19,80,457570,8,1,"Musical","2018"
"once-on-this-island-514926",2018-07-29,93,557528,8,1,"Musical","2018"
"once-on-this-island-514926",2018-06-03,91,507578,8,1,"Musical","2018"
"once-on-this-island-514926",2018-06-10,98,537110,8,1,"Musical","2018"
"once-on-this-island-514926",2018-06-17,100,617297,8,1,"Musical","2018"
"once-on-this-island-514926",2018-06-24,103,686414,8,1,"Musical","2018"
"once-on-this-island-514926",2018-07-01,98,595727,8,1,"Musical","2018"
"once-on-this-island-514926",2018-10-07,86,426464,8,1,"Musical","2018"
"once-on-this-island-514926",2018-10-14,85,430394,8,1,"Musical","2018"
"once-on-this-island-514926",2018-10-21,89,433461,8,1,"Musical","2018"
"once-on-this-island-514926",2018-10-28,83,401934,8,1,"Musical","2018"
"once-on-this-island-514926",2018-11-04,90,358879,8,1,"Musical","2018"
"once-on-this-island-514926",2018-11-11,90,429808,8,1,"Musical","2018"
"once-on-this-island-514926",2018-11-18,80,379459,8,1,"Musical","2018"
"once-on-this-island-514926",2018-11-25,80,459321,8,1,"Musical","2018"
"once-on-this-island-514926",2018-12-02,76,361135,8,1,"Musical","2018"
"once-on-this-island-514926",2018-12-09,89,413735,8,1,"Musical","2018"
"once-on-this-island-514926",2018-12-16,91,444984,8,1,"Musical","2018"
"once-on-this-island-514926",2018-12-23,99,534170,8,1,"Musical","2018"
"once-on-this-island-514926",2018-12-30,103,757810,8,1,"Musical","2018"
"once-on-this-island-514926",2019-01-06,104,727236,8,1,"Musical","2018"
"once-on-this-island-514926",2017-11-12,101,381170,8,1,"Musical","2018"
"once-on-this-island-514926",2017-11-19,98,431861,8,1,"Musical","2018"
"once-on-this-island-514926",2017-11-26,92,485973,8,1,"Musical","2018"
"once-on-this-island-514926",2017-12-03,100,395580,8,1,"Musical","2018"
"once-on-this-island-514926",2017-12-10,101,543614,8,1,"Musical","2018"
"once-on-this-island-514926",2017-12-17,98,553305,8,1,"Musical","2018"
"once-on-this-island-514926",2017-12-24,102,594626,8,1,"Musical","2018"
"once-on-this-island-514926",2017-12-31,97,827890,8,1,"Musical","2018"
"once-on-this-island-514926",2018-01-07,92,590064,8,1,"Musical","2018"
"once-on-this-island-514926",2018-01-14,99,610830,8,1,"Musical","2018"
"once-on-this-island-514926",2018-01-21,100,588351,8,1,"Musical","2018"
"once-on-this-island-514926",2018-01-28,101,599476,8,1,"Musical","2018"
"once-on-this-island-514926",2018-02-04,97,515456,8,1,"Musical","2018"
"once-on-this-island-514926",2018-02-11,95,461880,8,1,"Musical","2018"
"once-on-this-island-514926",2018-02-18,86,534474,8,1,"Musical","2018"
"once-on-this-island-514926",2018-02-25,90,491248,8,1,"Musical","2018"
"once-on-this-island-514926",2018-03-04,86,419609,8,1,"Musical","2018"
"once-on-this-island-514926",2018-03-11,96,478594,8,1,"Musical","2018"
"once-on-this-island-514926",2018-03-18,97,516400,8,1,"Musical","2018"
"once-on-this-island-514926",2018-03-25,95,507742,8,1,"Musical","2018"
"once-on-this-island-514926",2018-08-26,78,411114,8,1,"Musical","2018"
"once-on-this-island-514926",2018-09-02,79,432461,8,1,"Musical","2018"
"once-on-this-island-514926",2018-09-09,82,421308,8,1,"Musical","2018"
"once-on-this-island-514926",2018-09-16,84,434147,8,1,"Musical","2018"
"once-on-this-island-514926",2018-09-23,79,389854,8,1,"Musical","2018"
"once-on-this-island-514926",2018-09-30,80,373077,8,1,"Musical","2018"
"once-on-this-island-514926",2018-05-06,88,435430,8,1,"Musical","2018"
"once-on-this-island-514926",2018-05-13,94,523075,8,1,"Musical","2018"
"once-on-this-island-514926",2018-05-20,101,513582,8,1,"Musical","2018"
"once-on-this-island-514926",2018-05-27,93,551703,8,1,"Musical","2018"
"once-on-this-island-514926",2018-04-22,93,474934,8,1,"Musical","2018"
"once-on-this-island-514926",2018-04-01,93,594646,8,1,"Musical","2018"
"once-on-this-island-514926",2018-04-08,95,560959,8,1,"Musical","2018"
"once-on-this-island-514926",2018-04-15,93,463943,8,1,"Musical","2018"
"once-on-this-island-514926",2018-04-29,90,433993,8,1,"Musical","2018"
"once-upon-a-mattress-5141",1997-04-20,67,249632,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-04-27,78,310888,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1996-12-01,64,328003,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1996-12-08,59,250139,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-03-23,80,312310,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-04-13,63,241497,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-04-06,79,307373,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-01-05,95,439469,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-01-12,67,287760,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1996-11-24,67,221541,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-05-18,57,208185,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-05-25,74,257799,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-06-01,59,202058,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-03-30,86,344149,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-02-23,83,350273,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-03-02,57,235070,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-03-09,65,261942,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1996-12-15,60,278542,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1996-12-22,58,258034,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1996-12-29,92,497025,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-01-19,64,299031,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-01-26,62,260430,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-05-04,55,205122,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-05-11,48,176090,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-02-16,71,361921,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-02-02,82,323868,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-02-09,60,252248,1,0,"Musical","1997"
"once-upon-a-mattress-5141",1997-03-16,71,271330,1,0,"Musical","1997"
"one-flew-over-the-cuckoos-nest-12825",2001-07-15,89,353533,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-07-22,91,363773,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-07-29,96,362166,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-07-08,92,260111,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-07-01,81,335161,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-04-15,89,334405,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-06-17,84,388795,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-06-24,61,271562,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-04-01,80,318847,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-05-06,71,338729,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-05-13,71,351215,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-05-20,80,335930,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-04-22,96,413086,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-04-08,54,214036,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-06-10,87,357497,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-06-03,76,308636,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-04-29,82,369567,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-03-25,86,315711,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-05-27,77,336403,2,1,"Play","2001"
"one-flew-over-the-cuckoos-nest-12825",2001-03-18,81,148555,2,1,"Play","2001"
"one-man-two-guvnors-491201",2012-07-15,80,636677,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-07-22,81,624487,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-08-12,87,641423,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-08-19,87,659289,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-07-29,80,599544,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-07-08,80,600469,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-06-03,68,501008,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-06-10,79,580109,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-08-26,96,746407,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-08-05,81,605858,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-07-01,82,639890,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-04-29,81,541263,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-05-06,76,535513,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-05-13,81,585960,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-05-20,88,627387,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-09-02,98,853768,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-05-27,78,577836,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-06-17,83,648505,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-06-24,84,656610,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-04-22,87,455357,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-04-08,94,262614,7,1,"Play","2012"
"one-man-two-guvnors-491201",2012-04-15,99,491442,7,1,"Play","2012"
"orphans-493860",2013-04-21,86,522036,2,0,"Play","2013"
"orphans-493860",2013-04-28,70,444469,2,0,"Play","2013"
"orphans-493860",2013-04-07,88,595471,2,0,"Play","2013"
"orphans-493860",2013-04-14,85,569401,2,0,"Play","2013"
"orphans-493860",2013-05-19,85,498625,2,0,"Play","2013"
"orphans-493860",2013-05-05,70,397646,2,0,"Play","2013"
"orphans-493860",2013-05-12,76,369078,2,0,"Play","2013"
"orphans-493860",2013-03-31,94,659391,2,0,"Play","2013"
"oslo-509322",2017-05-28,90,663241,7,2,"Play","2017"
"oslo-509322",2017-06-11,88,660561,7,2,"Play","2017"
"oslo-509322",2017-06-18,97,808195,7,2,"Play","2017"
"oslo-509322",2017-06-25,92,737558,7,2,"Play","2017"
"oslo-509322",2017-06-04,81,599230,7,2,"Play","2017"
"oslo-509322",2017-04-09,91,532934,7,2,"Play","2017"
"oslo-509322",2017-04-16,88,494320,7,2,"Play","2017"
"oslo-509322",2017-04-23,85,578106,7,2,"Play","2017"
"oslo-509322",2017-04-30,85,584905,7,2,"Play","2017"
"oslo-509322",2017-05-07,88,692653,7,2,"Play","2017"
"oslo-509322",2017-05-14,89,661485,7,2,"Play","2017"
"oslo-509322",2017-05-21,88,667486,7,2,"Play","2017"
"oslo-509322",2017-03-26,84,296597,7,2,"Play","2017"
"oslo-509322",2017-07-02,95,758637,7,2,"Play","2017"
"oslo-509322",2017-07-09,92,669470,7,2,"Play","2017"
"oslo-509322",2017-07-16,98,898524,7,2,"Play","2017"
"oslo-509322",2017-04-02,87,571353,7,2,"Play","2017"
"othello-4160",1982-02-28,85,240178,2,1,"Play","1982"
"othello-4160",1982-03-07,84,231849,2,1,"Play","1982"
"othello-4160",1982-03-14,83,225803,2,1,"Play","1982"
"othello-4160",1982-02-21,92,254413,2,1,"Play","1982"
"othello-4160",1982-04-04,63,174333,2,1,"Play","1982"
"othello-4160",1982-01-31,79,81711,2,1,"Play","1982"
"othello-4160",1982-03-21,87,232945,2,1,"Play","1982"
"othello-4160",1982-03-28,96,255569,2,1,"Play","1982"
"othello-4160",1982-05-02,50,133775,2,1,"Play","1982"
"othello-4160",1982-05-09,60,159331,2,1,"Play","1982"
"othello-4160",1982-02-07,72,152985,2,1,"Play","1982"
"othello-4160",1982-02-14,102,218591,2,1,"Play","1982"
"othello-4160",1982-04-25,46,131724,2,1,"Play","1982"
"othello-4160",1982-05-16,80,206118,2,1,"Play","1982"
"othello-4160",1982-05-23,89,255446,2,1,"Play","1982"
"othello-4160",1982-04-11,65,176197,2,1,"Play","1982"
"othello-4160",1982-04-18,84,223709,2,1,"Play","1982"
"other-desert-cities-490602",2012-02-12,81,433404,5,1,"Play","2012"
"other-desert-cities-490602",2012-02-26,83,454568,5,1,"Play","2012"
"other-desert-cities-490602",2012-03-11,74,399332,5,1,"Play","2012"
"other-desert-cities-490602",2011-11-20,94,535058,5,1,"Play","2012"
"other-desert-cities-490602",2012-02-19,85,475308,5,1,"Play","2012"
"other-desert-cities-490602",2011-12-18,88,551176,5,1,"Play","2012"
"other-desert-cities-490602",2012-03-04,75,406966,5,1,"Play","2012"
"other-desert-cities-490602",2012-01-01,90,557906,5,1,"Play","2012"
"other-desert-cities-490602",2012-01-08,88,536244,5,1,"Play","2012"
"other-desert-cities-490602",2012-01-15,90,533623,5,1,"Play","2012"
"other-desert-cities-490602",2011-12-25,77,479209,5,1,"Play","2012"
"other-desert-cities-490602",2012-02-05,84,473904,5,1,"Play","2012"
"other-desert-cities-490602",2012-04-29,67,305562,5,1,"Play","2012"
"other-desert-cities-490602",2012-05-06,60,259913,5,1,"Play","2012"
"other-desert-cities-490602",2012-05-13,63,292182,5,1,"Play","2012"
"other-desert-cities-490602",2012-05-20,65,303425,5,1,"Play","2012"
"other-desert-cities-490602",2012-05-27,65,294942,5,1,"Play","2012"
"other-desert-cities-490602",2011-11-27,81,501005,5,1,"Play","2012"
"other-desert-cities-490602",2012-03-18,69,375534,5,1,"Play","2012"
"other-desert-cities-490602",2012-03-25,61,318902,5,1,"Play","2012"
"other-desert-cities-490602",2012-04-01,56,240862,5,1,"Play","2012"
"other-desert-cities-490602",2012-04-08,55,216849,5,1,"Play","2012"
"other-desert-cities-490602",2012-04-15,57,276015,5,1,"Play","2012"
"other-desert-cities-490602",2012-01-29,85,491987,5,1,"Play","2012"
"other-desert-cities-490602",2012-04-22,61,286175,5,1,"Play","2012"
"other-desert-cities-490602",2011-10-16,98,334839,5,1,"Play","2012"
"other-desert-cities-490602",2011-10-23,98,450599,5,1,"Play","2012"
"other-desert-cities-490602",2011-10-30,99,426707,5,1,"Play","2012"
"other-desert-cities-490602",2011-11-06,100,430820,5,1,"Play","2012"
"other-desert-cities-490602",2011-11-13,101,533817,5,1,"Play","2012"
"other-desert-cities-490602",2012-06-03,61,260834,5,1,"Play","2012"
"other-desert-cities-490602",2011-12-04,92,527416,5,1,"Play","2012"
"other-desert-cities-490602",2011-12-11,95,586512,5,1,"Play","2012"
"other-desert-cities-490602",2012-06-17,87,424313,5,1,"Play","2012"
"other-desert-cities-490602",2012-06-10,72,346070,5,1,"Play","2012"
"other-desert-cities-490602",2012-01-22,81,477883,5,1,"Play","2012"
"our-countrys-good-4642",1991-05-19,62,85235,5,0,"Play","1991"
"our-countrys-good-4642",1991-05-26,65,77602,5,0,"Play","1991"
"our-countrys-good-4642",1991-06-09,64,80651,5,0,"Play","1991"
"our-countrys-good-4642",1991-04-21,70,20049,5,0,"Play","1991"
"our-countrys-good-4642",1991-04-28,87,61320,5,0,"Play","1991"
"our-countrys-good-4642",1991-05-05,65,65439,5,0,"Play","1991"
"our-countrys-good-4642",1991-06-02,50,59414,5,0,"Play","1991"
"our-countrys-good-4642",1991-05-12,57,63363,5,0,"Play","1991"
"pack-of-lies-4359",1985-02-24,66,97180,1,0,"Play","1985"
"pack-of-lies-4359",1985-05-19,34,47517,1,0,"Play","1985"
"pack-of-lies-4359",1985-05-26,38,57037,1,0,"Play","1985"
"pack-of-lies-4359",1985-03-17,46,87226,1,0,"Play","1985"
"pack-of-lies-4359",1985-02-17,80,126483,1,0,"Play","1985"
"pack-of-lies-4359",1985-03-03,44,84893,1,0,"Play","1985"
"pack-of-lies-4359",1985-03-10,44,82910,1,0,"Play","1985"
"pack-of-lies-4359",1985-02-10,78,62955,1,0,"Play","1985"
"pack-of-lies-4359",1985-03-24,44,71876,1,0,"Play","1985"
"pack-of-lies-4359",1985-03-31,44,72630,1,0,"Play","1985"
"pack-of-lies-4359",1985-04-07,32,51044,1,0,"Play","1985"
"pack-of-lies-4359",1985-04-14,35,63121,1,0,"Play","1985"
"pack-of-lies-4359",1985-05-05,33,52690,1,0,"Play","1985"
"pack-of-lies-4359",1985-05-12,33,50767,1,0,"Play","1985"
"pack-of-lies-4359",1985-04-28,36,65389,1,0,"Play","1985"
"pack-of-lies-4359",1985-04-21,30,54790,1,0,"Play","1985"
"parade-536082",2023-06-04,92,1035434,6,2,"Musical","2023"
"parade-536082",2023-06-11,95,1059730,6,2,"Musical","2023"
"parade-536082",2023-05-28,96,1108120,6,2,"Musical","2023"
"parade-536082",2023-07-30,103,1527937,6,2,"Musical","2023"
"parade-536082",2023-08-06,103,1814013,6,2,"Musical","2023"
"parade-536082",2023-07-02,99,1141308,6,2,"Musical","2023"
"parade-536082",2023-03-05,94,914510,6,2,"Musical","2023"
"parade-536082",2023-03-12,95,861707,6,2,"Musical","2023"
"parade-536082",2023-06-18,98,1168463,6,2,"Musical","2023"
"parade-536082",2023-02-26,100,587006,6,2,"Musical","2023"
"parade-536082",2023-06-25,99,1298261,6,2,"Musical","2023"
"parade-536082",2023-07-09,96,1047255,6,2,"Musical","2023"
"parade-536082",2023-03-19,102,1040882,6,2,"Musical","2023"
"parade-536082",2023-03-26,100,1127073,6,2,"Musical","2023"
"parade-536082",2023-07-23,102,1295630,6,2,"Musical","2023"
"parade-536082",2023-04-30,93,1067292,6,2,"Musical","2023"
"parade-536082",2023-05-07,89,1012351,6,2,"Musical","2023"
"parade-536082",2023-05-14,93,1100478,6,2,"Musical","2023"
"parade-536082",2023-05-21,98,1012450,6,2,"Musical","2023"
"parade-536082",2023-04-02,99,1158493,6,2,"Musical","2023"
"parade-536082",2023-04-23,95,1100981,6,2,"Musical","2023"
"parade-536082",2023-07-16,100,1344466,6,2,"Musical","2023"
"parade-536082",2023-04-16,98,1126838,6,2,"Musical","2023"
"parade-536082",2023-04-09,99,1134539,6,2,"Musical","2023"
"paradise-square-531770",2022-05-29,61,261256,9,1,"Musical","2022"
"paradise-square-531770",2022-06-05,59,229337,9,1,"Musical","2022"
"paradise-square-531770",2022-06-12,60,263147,9,1,"Musical","2022"
"paradise-square-531770",2022-06-19,64,387670,9,1,"Musical","2022"
"paradise-square-531770",2022-06-26,58,363664,9,1,"Musical","2022"
"paradise-square-531770",2022-07-03,54,300508,9,1,"Musical","2022"
"paradise-square-531770",2022-07-10,48,266926,9,1,"Musical","2022"
"paradise-square-531770",2022-07-17,73,520750,9,1,"Musical","2022"
"paradise-square-531770",2022-03-20,97,355401,9,1,"Musical","2022"
"paradise-square-531770",2022-03-27,93,346651,9,1,"Musical","2022"
"paradise-square-531770",2022-04-03,91,296350,9,1,"Musical","2022"
"paradise-square-531770",2022-04-10,74,80612,9,1,"Musical","2022"
"paradise-square-531770",2022-04-24,61,253374,9,1,"Musical","2022"
"paradise-square-531770",2022-05-01,54,206562,9,1,"Musical","2022"
"paradise-square-531770",2022-05-08,61,193669,9,1,"Musical","2022"
"paradise-square-531770",2022-05-15,70,235604,9,1,"Musical","2022"
"paradise-square-531770",2022-05-22,57,241952,9,1,"Musical","2022"
"passing-strange-475091",2008-03-30,81,326734,7,1,"Musical","2008"
"passing-strange-475091",2008-05-04,45,194014,7,1,"Musical","2008"
"passing-strange-475091",2008-05-11,45,205944,7,1,"Musical","2008"
"passing-strange-475091",2008-05-18,59,256680,7,1,"Musical","2008"
"passing-strange-475091",2008-02-10,39,55129,7,1,"Musical","2008"
"passing-strange-475091",2008-02-17,32,101496,7,1,"Musical","2008"
"passing-strange-475091",2008-02-24,24,81740,7,1,"Musical","2008"
"passing-strange-475091",2008-04-27,61,259911,7,1,"Musical","2008"
"passing-strange-475091",2008-03-09,50,198876,7,1,"Musical","2008"
"passing-strange-475091",2008-03-16,56,225643,7,1,"Musical","2008"
"passing-strange-475091",2008-03-23,79,313560,7,1,"Musical","2008"
"passing-strange-475091",2008-03-02,31,118100,7,1,"Musical","2008"
"passing-strange-475091",2008-04-13,49,198628,7,1,"Musical","2008"
"passing-strange-475091",2008-04-20,42,180849,7,1,"Musical","2008"
"passing-strange-475091",2008-06-15,63,271947,7,1,"Musical","2008"
"passing-strange-475091",2008-06-22,60,259768,7,1,"Musical","2008"
"passing-strange-475091",2008-05-25,67,280592,7,1,"Musical","2008"
"passing-strange-475091",2008-06-29,51,244817,7,1,"Musical","2008"
"passing-strange-475091",2008-07-06,38,176068,7,1,"Musical","2008"
"passing-strange-475091",2008-07-13,38,184913,7,1,"Musical","2008"
"passing-strange-475091",2008-07-20,86,393296,7,1,"Musical","2008"
"passing-strange-475091",2008-06-01,50,200668,7,1,"Musical","2008"
"passing-strange-475091",2008-06-08,51,213089,7,1,"Musical","2008"
"passing-strange-475091",2008-04-06,54,218912,7,1,"Musical","2008"
"passion-4228",1983-07-17,44,86257,1,0,"Play","1983"
"passion-4228",1983-06-12,49,99038,1,0,"Play","1983"
"passion-4228",1983-06-19,66,103236,1,0,"Play","1983"
"passion-4228",1983-08-07,54,102863,1,0,"Play","1983"
"passion-4228",1983-05-08,12,7914,1,0,"Play","1983"
"passion-4228",1983-06-26,48,100253,1,0,"Play","1983"
"passion-4228",1983-07-10,46,89232,1,0,"Play","1983"
"passion-4228",1983-06-05,44,89376,1,0,"Play","1983"
"passion-4228",1983-05-29,54,141464,1,0,"Play","1983"
"passion-4228",1983-07-24,46,88713,1,0,"Play","1983"
"passion-4228",1983-07-31,48,88066,1,0,"Play","1983"
"passion-4228",1983-07-03,56,108503,1,0,"Play","1983"
"passion-4228",1983-05-22,65,431488,1,0,"Play","1983"
"passion-4228",1983-05-15,34,139018,1,0,"Play","1983"
"passion-4606",1994-10-02,62,232582,10,4,"Musical","1994"
"passion-4606",1994-10-09,71,273711,10,4,"Musical","1994"
"passion-4606",1994-07-24,71,264378,10,4,"Musical","1994"
"passion-4606",1994-10-23,69,258493,10,4,"Musical","1994"
"passion-4606",1994-07-31,70,259674,10,4,"Musical","1994"
"passion-4606",1994-07-17,68,256044,10,4,"Musical","1994"
"passion-4606",1994-10-16,72,271513,10,4,"Musical","1994"
"passion-4606",1994-08-21,73,265389,10,4,"Musical","1994"
"passion-4606",1994-08-28,66,232020,10,4,"Musical","1994"
"passion-4606",1994-08-07,71,256394,10,4,"Musical","1994"
"passion-4606",1994-08-14,76,275419,10,4,"Musical","1994"
"passion-4606",1994-09-25,67,254249,10,4,"Musical","1994"
"passion-4606",1994-12-11,64,251906,10,4,"Musical","1994"
"passion-4606",1994-12-18,59,198748,10,4,"Musical","1994"
"passion-4606",1994-12-25,36,127896,10,4,"Musical","1994"
"passion-4606",1994-07-03,79,284786,10,4,"Musical","1994"
"passion-4606",1994-07-10,53,205842,10,4,"Musical","1994"
"passion-4606",1994-03-27,81,117096,10,4,"Musical","1994"
"passion-4606",1994-04-03,85,291155,10,4,"Musical","1994"
"passion-4606",1994-10-30,60,229141,10,4,"Musical","1994"
"passion-4606",1994-11-06,62,228035,10,4,"Musical","1994"
"passion-4606",1994-11-13,65,242865,10,4,"Musical","1994"
"passion-4606",1994-09-04,66,234572,10,4,"Musical","1994"
"passion-4606",1994-09-11,59,211907,10,4,"Musical","1994"
"passion-4606",1994-09-18,54,210871,10,4,"Musical","1994"
"passion-4606",1994-06-05,55,218131,10,4,"Musical","1994"
"passion-4606",1994-06-12,59,233578,10,4,"Musical","1994"
"passion-4606",1994-06-19,63,274218,10,4,"Musical","1994"
"passion-4606",1995-01-01,91,373299,10,4,"Musical","1994"
"passion-4606",1995-01-08,81,288607,10,4,"Musical","1994"
"passion-4606",1994-04-24,85,308899,10,4,"Musical","1994"
"passion-4606",1994-11-20,58,224320,10,4,"Musical","1994"
"passion-4606",1994-04-10,90,291636,10,4,"Musical","1994"
"passion-4606",1994-04-17,82,286271,10,4,"Musical","1994"
"passion-4606",1994-05-15,67,264327,10,4,"Musical","1994"
"passion-4606",1994-05-22,79,306377,10,4,"Musical","1994"
"passion-4606",1994-11-27,66,263336,10,4,"Musical","1994"
"passion-4606",1994-12-04,60,238365,10,4,"Musical","1994"
"passion-4606",1994-05-08,80,286634,10,4,"Musical","1994"
"passion-4606",1994-05-29,72,278972,10,4,"Musical","1994"
"passion-4606",1994-06-26,88,347853,10,4,"Musical","1994"
"passion-4606",1994-05-01,69,260526,10,4,"Musical","1994"
"penn-teller-the-refrigerator-tour-4636",1991-03-31,53,120655,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-04-21,67,182808,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-05-12,48,132020,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-05-26,51,124752,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-04-28,58,162562,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-06-30,57,133095,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-06-23,48,108815,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-06-16,34,84967,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-04-07,64,168379,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-05-05,56,156528,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-06-09,33,81682,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-05-19,52,135213,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-04-14,67,168960,0,0,"Special","1991"
"penn-teller-the-refrigerator-tour-4636",1991-06-02,27,78977,0,0,"Special","1991"
"peter-and-the-starcatcher-491597",2012-04-01,85,143579,9,5,"Play","2012"
"peter-and-the-starcatcher-491597",2012-04-08,84,273712,9,5,"Play","2012"
