production,nominations,wins,type,year
rain-488176,1,1,Musical,2011
sondheim-on-sondheim-485091,2,0,Musical,2010
the-addams-family-484632,2,0,Musical,2010
the-merchant-of-venice-4551,4,0,Play,1990
the-merchant-of-venice-488573,7,0,Play,2011
the-miracle-worker-485320,0,0,Play,"Mar 03, 2010"
the-pitmen-painters-488091,0,0,Play,"Sep 30, 2010"
the-scottsboro-boys-488110,11,0,Musical,2011
time-stands-still-484342,2,0,Play,2010
women-on-the-verge-of-a-nervous-breakdown-488085,2,0,Musical,2011
33-variations-482128,5,1,Play,2009
a-little-night-music-485016,4,1,Musical,2010
a-steady-rain-484365,0,0,Play,"Sep 29, 2009"
accent-on-youth-480514,0,0,Play,"Apr 29, 2009"
after-miss-julie-483133,0,0,Play,"Oct 22, 2009"
blithe-spirit-4447,1,0,Play,1987
blithe-spirit-482340,2,1,Play,2009
brighton-beach-memoirs-4212,4,2,Play,1983
brighton-beach-memoirs-484111,2,1,Play,2010
broadway-bound-4434,4,2,Play,1987
burn-the-floor-484014,0,0,Musical,"Aug 02, 2009"
bye-bye-birdie-483899,0,0,Musical,"Oct 15, 2009"
desire-under-the-elms-483543,2,0,Play,2009
exit-the-king-482525,4,1,Play,2009
finians-rainbow-484496,3,0,Musical,2010
god-of-carnage-482510,5,3,Play,2009
guys-and-dolls-4679,8,4,Musical,1992
guys-and-dolls-481459,2,0,Musical,2009
hedda-gabler-4267,0,0,Play,"Jul 10, 1994"
hedda-gabler-12937,1,0,Play,2002
hedda-gabler-480608,0,0,Play,"Jan 25, 2009"
impressionism-482092,0,0,Play,"Mar 24, 2009"
joe-turners-come-and-gone-4499,5,1,Play,1988
joe-turners-come-and-gone-482347,6,2,Play,2009
next-to-normal-483136,11,3,Musical,2009
oleanna-484336,0,0,Play,"Oct 11, 2009"
ragtime-4843,12,4,Musical,1998
ragtime-484345,6,0,Musical,2010
reasons-to-be-pretty-482214,3,0,Play,2009
rock-of-ages-482291,5,0,Musical,2009
soul-of-shaolin-481614,1,0,Special,2009
superior-donuts-484305,1,0,Play,2010
the-norman-conquests-living-together-483079,5,1,Play,2009
the-philanthropist-481454,0,0,Play,"Apr 26, 2009"
the-royal-family-483660,5,1,Play,2010
the-story-of-my-life-481923,4,0,Musical,2009
wishful-drinking-483888,1,0,Play,2010
title-of-show-478457,1,0,Musical,2009
a-catered-affair-466360,3,0,Musical,2008
a-man-for-all-seasons-479103,0,0,Play,"Oct 07, 2008"
a-tale-of-two-cities-478295,3,0,Musical,2009
billy-elliot-the-musical-475107,14,10,Musical,2009
cirque-dreams-478310,0,0,Musical,"Jun 26, 2008"
come-back-little-sheba-467373,1,0,Play,2008
dividing-the-estate-479746,2,0,Play,2009
equus-478547,2,1,Play,2009
glory-days-478270,0,0,Musical,"May 06, 2008"
in-the-heights-465745,13,4,Musical,2008
passing-strange-475091,7,1,Musical,2008
shrek-the-musical-477427,8,1,Musical,2009
the-39-steps-469215,6,2,Play,2008
the-country-girl-470352,2,0,Play,2008
the-little-mermaid-456222,2,0,Musical,2008
the-seagull-4698,0,0,Play,"Nov 29, 1992"
the-seagull-480037,1,0,Play,2009
thurgood-471162,1,0,Play,2008
to-be-or-not-to-be-478640,0,0,Play,"Oct 14, 2008"
top-girls-460191,1,0,Play,2008
110-in-the-shade-423558,5,0,Musical,2007
a-moon-for-the-misbegotten-4466,4,0,Play,1984
a-moon-for-the-misbegotten-12486,4,1,Play,2000
a-moon-for-the-misbegotten-453966,1,0,Play,2007
august-osage-county-467754,7,5,Play,2008
coram-boy-456224,5,0,Play,2007
curtains-453332,8,1,Musical,2007
cymbeline-461775,0,0,Play,"Dec 02, 2007"
deuce-452999,1,0,Play,2007
frost-nixon-453357,3,1,Play,2007
inherit-the-wind-4672,2,0,Play,1996
inherit-the-wind-452232,4,0,Play,2007
journeys-end-454928,6,1,Play,2007
legally-blonde-423552,7,0,Musical,2007
lovemusik-455498,4,0,Musical,2007
mauritius-462265,1,0,Play,2008
old-acquaintance-458197,0,0,Play,"Jun 28, 2007"
prelude-to-a-kiss-4564,2,0,Play,1990
prelude-to-a-kiss-455728,0,0,Play,"Mar 08, 2007"
radio-golf-456785,3,0,Play,2007
talk-radio-448819,2,0,Play,2007
