"production","weeks","nominations","wins","year","type"
"marlene-7297",5,2,0,"1999","Musical"
"marvins-room-510044",12,0,0,"2018","Play"
"mary-poppins-408494",334,7,1,"2007","Musical"
"mary-stuart-481070",20,6,1,"2009","Play"
"mass-appeal-4142",29,2,0,"1982","Play"
"master-class-4314",87,3,3,"1996","Play"
"match-9648",11,1,0,"2004","Play"
"matilda-the-musical-493194",200,13,4,"2013","Musical"
"me-and-my-girl-4419",179,11,3,"1987","Musical"
"mean-girls-515822",104,12,0,"2018","Musical"
"medea-4168",9,6,1,"1982","Play"
"medea-4600",13,3,1,"1994","Play"
"meet-me-in-st-louis-4251",34,4,0,"1990","Musical"
"merlin-4206",35,5,0,"1983","Musical"
"metamorphoses-13324",52,3,1,"2002","Play"
"metamorphosis-4536",13,2,0,"1989","Play"
"michael-feinstein-in-concert-4502",8,0,0,"1988","Special"
"million-dollar-quartet-485499",66,3,1,"2010","Musical"
"miss-saigon-4639",515,11,3,"1991","Musical"
"miss-saigon-509511",46,2,0,"2017","Musical"
"mj-the-musical-524797",97,10,4,"2022","Musical"
"moon-over-buffalo-4304",42,2,0,"1996","Play"
"mornings-at-seven-13304",18,6,0,"2002","Play"
"mornings-at-seven-3697",63,4,3,"1980","Play"
"mothers-and-sons-495880",18,2,0,"2014","Play"
"motown-the-musical-493342",97,4,0,"2013","Musical"
"movin-out-13368",167,9,2,"2003","Musical"
"mr-saturday-night-532890",22,5,0,"2022","Musical"
"mrs-doubtfire-534364",7,0,0,"2022","Musical"
"much-ado-about-everything-10708",37,0,0,"2000","Special"
"my-fair-lady-4590",23,3,0,"1994","Musical"
"my-fair-lady-513966",69,10,1,"2018","Musical"
"my-one-and-only-4221",101,9,3,"1983","Musical"
"my-thing-of-love-4300",4,0,0,"1996","Play"
"natasha-pierre-the-great-comet-of-1812-506425",46,12,2,"2017","Musical"
"network-519334",30,5,1,"2019","Play"
"new-york-new-york-535492",19,9,1,"2023","Musical"
"newsies-the-musical-491210",128,8,2,"2012","Musical"
"next-fall-485029",20,2,0,"2010","Play"
"next-to-normal-483136",95,11,3,"2009","Musical"
"nice-work-if-you-can-get-it-491374",64,10,2,"2012","Musical"
"night-mother-4214",49,3,0,"1983","Play"
"night-must-fall-6732",20,1,0,"1999","Play"
"nine-13305",39,7,2,"2003","Musical"
"nine-4172",94,11,5,"1982","Musical"
"noises-off-13061",46,2,1,"2002","Play"
"noises-off-4244",71,4,0,"1984","Play"
"not-about-nightingales-6483",18,6,1,"1999","Play"
"november-467154",30,1,0,"2008","Play"
"nuts-3948",7,1,0,"1980","Play"
"oba-oba-4500",8,0,0,"1988","Musical"
"of-mice-and-men-495843",19,2,0,"2014","Play"
"oklahoma-12938",53,7,1,"2002","Musical"
"oklahoma-3825",12,2,0,"1980","Musical"
"oklahoma-520829",44,8,2,"2019","Musical"
"old-acquaintance-458197",12,0,0,"2008","Play"
"oliver-4465",4,1,0,"1984","Musical"
"on-golden-pond-391510",14,2,0,"2005","Play"
"on-the-town-497107",51,4,0,"2015","Musical"
"on-the-twentieth-century-497108",23,5,0,"2015","Musical"
"on-the-waterfront-4298",3,0,0,"1996","Play"
"on-your-feet-497820",98,1,0,"2016","Musical"
"on-your-toes-4208",64,5,2,"1983","Musical"
"once-491352",149,11,8,"2012","Musical"
"once-on-this-island-4617",61,8,0,"1991","Musical"
"once-on-this-island-514926",61,8,1,"2018","Musical"
"once-upon-a-mattress-5141",28,1,0,"1997","Musical"
"one-flew-over-the-cuckoos-nest-12825",20,2,1,"2001","Play"
"one-man-two-guvnors-491201",22,7,1,"2012","Play"
"orphans-493860",8,2,0,"2013","Play"
"oslo-509322",17,7,2,"2017","Play"
"othello-4160",17,2,1,"1982","Play"
"other-desert-cities-490602",36,5,1,"2012","Play"
"our-countrys-good-4642",8,5,0,"1991","Play"
"pack-of-lies-4359",16,1,0,"1985","Play"
"parade-536082",24,6,2,"2023","Musical"
"paradise-square-531770",17,9,1,"2022","Musical"
"passing-strange-475091",24,7,1,"2008","Musical"
"passion-4228",14,1,0,"1983","Play"
"passion-4606",42,10,4,"1994","Musical"
"penn-teller-the-refrigerator-tour-4636",14,0,0,"1991","Special"
"peter-and-the-starcatcher-491597",43,9,5,"2012","Play"
"peter-pan-12557",28,0,0,"1999","Musical"
"peter-pan-3807",29,2,0,"1980","Musical"
"peter-pan-goes-wrong-536073",19,3,1,"2023","Play"
"picnic-4603",9,2,0,"1994","Play"
"pippin-493954",94,10,4,"2013","Musical"
"play-me-a-country-song-4178",3,0,0,"1983","Musical"
"play-on-4738",10,3,0,"1997","Musical"
"plaza-suite-524089",20,1,0,"2022","Play"
"porgy-and-bess-4861",36,2,0,"1983","Musical"
"porgy-and-bess-490541",164,9,2,"2012","Musical"
"potus-or-behind-every-great-dumbass-are-seven-women-trying-to-keep-him-alive-533991",18,2,0,"2022","Play"
"precious-sons-4401",11,1,0,"1986","Play"
"prelude-to-a-kiss-4564",56,2,0,"1990","Play"
"present-laughter-510583",17,3,1,"2017","Play"
"pretty-woman-the-musical-517017",57,0,0,"2019","Musical"
"prima-facie-535843",12,4,1,"2023","Play"
"private-lives-13372",20,6,3,"2002","Play"
"private-lives-4225",12,0,0,"1984","Play"
"promises-promises-485290",41,4,1,"2010","Musical"
"proof-12546",117,5,3,"2001","Play"
"prymate-377605",4,1,0,"2004","Play"
"pump-boys-and-dinettes-4161",50,1,0,"1982","Musical"
"pygmalion-4468",16,2,0,"1987","Play"
"qed-13181",28,0,0,"2002","Play"
"race-483898",40,1,0,"2010","Play"
"radio-golf-456785",11,3,0,"2007","Play"
